c_fullname	agg_count	agg_date
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18919400\	632	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18916977\	769	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18916977\A17817769\	241	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18922676\A17873158\	5661	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18922222\A17779552\A17831225\	658	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18916977\A17817769\A17792095\	234	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18922676\	5653	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18905984\	3294	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18905984\A17840910\	3304	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18922676\A17873158\A17809547\	5670	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911062\A18913716\A17813030\	757	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911062\A18913716\A17813030\A17787422\	756	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911062\A18913716\A17813030\A17863999\	747	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18924938\	630	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18924938\A17806671\	215	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18924938\A17806671\A17845084\	215	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18924938\A17845058\	432	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18905984\A17840910\A27153186\A27153187\	3285	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18913876\	1690	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18913876\A17840890\	1355	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18916480\A17853500\	1132	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18916487\	12	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\	8138	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18908582\A27154320\A27152043\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18913874\	3936	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18913874\A17866328\A18924360\	531	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18913876\A17840890\A17840893\A17802447\	1123	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18913876\A17840890\A17840895\	1368	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18916480\A17776863\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18922050\	1240	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911062\A18913716\	760	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911062\A18921554\	2321	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18908555\A17865919\A17853086\	400	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911062\A18921554\A17800280\	2325	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18922222\A17779552\	669	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18913833\A17814526\A17776093\	130	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18916407\A17801501\	2452	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18916407\A17801501\A17814438\A17852624\	2460	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18916407\A17801501\A17852625\A17827233\	2448	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18916407\A17801501\A17865416\	2460	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18916407\A17801506\A17865418\A17775981\	6681	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18916407\A17852637\A17814444\	2845	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18916407\A17852637\	2837	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18921653\	1246	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18921653\A17865294\A17839849\	282	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18922050\A17804525\	1259	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18922050\A17804525\A17842941\	1260	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18922050\A17804525\A17842941\A17855613\	1247	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18922222\A17779552\A17831225\A17792615\	654	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18924339\A17865805\A17865819\A17776385\	73	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18924339\A17865805\A17865819\A17827616\A17827617\	84	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18908288\A17785972\A17798684\	6052	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18908288\A17785972\A17875284\A17849914\	6063	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18921653\A17852549\A17839895\	976	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18913833\A17788838\A17840106\	2458	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18921696\A17865975\A17776519\	6595	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18913833\A17814526\A17776093\A17801612\	123	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18916407\	11973	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18916407\A17801506\	6689	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18908291\A17862576\A17837241\	1610	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18913595\	16973	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18922222\	661	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18913595\A17850051\	100	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18913595\A17850051\A17798834\A17837307\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18913595\A17850051\A17862636\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18913595\A17850051\A17875424\	49	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18913595\A17875403\A17862625\A17837291\	4500	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18918864\A17785943\A17875259\	1699	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18919128\	2453	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18911163\A18921653\A17801390\A17827128\A17788625\	270	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18908288\A17785972\	6050	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18908288\A17785972\A17798684\A17875285\	6061	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916316\A18911092\A17851757\A17851758\A17800592\	7838	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18913595\A17824647\A18926672\	5904	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18913595\A17850039\A17875411\A17824636\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916265\	36702	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916265\A18908373\A17837957\A17786779\	1382	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916265\A18908373\A17837957\A17799546\	1394	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916265\A18918938\A17799537\A17825296\	35966	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\	25841	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18908288\A17785972\A17875284\	6070	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18908291\	1610	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916316\A18908428\A17800633\A17864489\	8195	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916316\A18908428\A17813492\A17813494\	4757	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916316\A18911092\	7832	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916316\A18916317\	6788	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916316\A18916317\A17775120\A17826396\	6782	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916316\A20161339\A17813653\	5883	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18913759\	90135	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18913759\A17839331\	88172	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18916349\A17864718\	12790	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18916349\A17864718\A17839336\	12781	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18919020\A17826561\	88158	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18921616\A17839374\A17839376\	8705	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18913595\A17824647\A18926672\A18916201\	5908	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18924231\A17800844\A17813728\A17800845\	1778	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18916594\A17866901\A17777422\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18919257\A17777413\	36510	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18913595\A17850051\A17850058\	41	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18913595\A17850051\A17862637\A17837312\A17875419\	43	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18913595\A17850051\A17862637\A17862638\A17786122\	37	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18919257\A17828637\A17866881\	18170	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18919257\A17828654\A17828655\	18176	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A18913595\A17875403\A17837292\A17786107\	7372	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916316\A27150507\A17839055\A17787823\	3925	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18916349\A17864713\A17864716\	5898	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18916350\A17800885\A17813772\A17826603\	3187	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18919020\A17788101\A17800858\	19510	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18919020\A17826561\A17813740\A17813741\	88171	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18921616\A17839374\A17839376\A20134452\	8713	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18924231\A17800842\A17851998\	19516	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18924231\A17800844\A17813730\A17775319\	1788	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18924231\A17813721\	14006	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18924231\A17813721\A17851997\A17775317\	14002	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18924231\A17852005\A17864701\	88163	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18913985\	4038	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18913985\A17777448\	4031	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18919260\A17790242\A17815957\	3520	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18919257\A17777413\A17802993\	1434	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18919257\A17815919\	881	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18924486\A17803022\	82027	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18924486\	82024	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A20115113\	1153	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916190\A20115113\A20160123\A18916195\	1145	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916265\A18911022\	49	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18906113\A17777747\A17790514\	795	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18906113\A17777753\	46110	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18911369\	8414	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18911373\	556	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18911373\A17816227\	557	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916316\A18908428\A17800633\A28398645\	6795	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916316\A18908428\A17800633\A28399039\A28399618\	6810	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18921837\A17841654\	871	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18921837\A17867137\	61707	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18921837\A17867143\	21777	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18921837\A17867143\A17803266\A17777691\	18171	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18921837\A17867143\A17854326\A17803267\	4224	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18924508\A17790528\	34947	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18924508\A17867210\	12480	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18924508\A17867216\	34945	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18913671\	22059	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18913671\A17799724\A17863551\	8426	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18913671\A17812585\A17786987\	30	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18913671\A17812585\A17812586\A17838164\	42	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18906113\	46621	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18906113\A17777753\A17816192\	46128	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916316\A18921575\A17787852\	5735	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916316\A18921575\A17787852\A17800603\	5733	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916316\A20161339\A17788011\A17851940\	5880	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18906118\	4440	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18916268\A17786848\A17838035\	3926	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18906118\A17816219\	4449	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18911369\A17777705\A17803295\	4024	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18916268\A17825389\A17838046\	2333	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18916268\A17825389\A17838046\A17838047\A17799615\	2318	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916316\A27150507\	34117	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18916268\A17825389\A17838046\A17850801\A27150862\A27150864\	1382	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\	106150	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18913759\A17800859\A17826570\	6399	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18916268\A17850773\A17786835\	38	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18911369\A17867149\A17803278\	7925	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18911373\A17816227\A17841739\	569	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18911373\A17816227\A18921843\	560	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18916350\A17864738\	2133	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18916350\A17864738\A17800883\	2136	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18921616\	8723	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18924231\A17800842\A17788078\	9207	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18924231\A17800844\A17813728\A17813729\	1780	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921535\A18913697\A17799975\A17812859\	8713	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18924251\A17826641\A18913764\A18921618\	8712	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18924251\A17826641\A18913764\A18921619\	8724	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18924251\A17826641\A18924252\	8716	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916341\A18924251\A17826641\A18924252\A18921617\	8716	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18916594\A17854065\	22	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18916594\A17854065\A17841445\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18916594\A17866901\A17790210\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18919257\A17854057\A17802987\	2139	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921535\A18913697\A17825705\A17825718\A17787210\A17838427\	2327	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18921837\	90304	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18921837\A17790457\A17867138\A28398474\	18174	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18924508\A17790528\A17828995\A17854408\	34943	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18924508\A17803338\	5826	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18924508\A17854424\	1750	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18905800\	972	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18905800\A17774031\A17863410\	972	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921535\A18916291\A17774375\	5100	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18924484\	505	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18924484\A17790221\	507	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18924118\A18905775\	3288	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18916593\A18924486\A17803022\A17815951\	82024	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18924118\A18905775\A17825177\	3305	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18924118\A18905775\A17825177\A17850591\	3296	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18913671\A17812585\A17812586\	33	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18906113\A17867201\A17854389\A18911371\	13	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18916268\A17812475\A17825400\	29	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18911369\A17867149\A17803278\A17828939\	7919	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18916268\A17825389\A17799612\A17774080\	3925	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921516\A18916268\A17825389\A17838046\A17812470\	1375	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18911369\A17867149\A17816150\	4616	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18921837\A17790457\A17841659\	17939	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18921837\A17841654\A17854321\	865	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18921535\A18913697\A17787211\A17787213\	5930	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18919275\A18924508\A17854424\A17777776\	1755	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18924938\A17845058\A17845070\	416	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18913874\A17866328\	3936	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18908579\A18913876\A17840890\A17840895\A17853532\	244	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18924118\A18924155\	4967	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18924118\A18913652\	3581	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18924118\A18924155\A17825184\	4975	2021-02-04 00:00:00.000
